time_step	accumulation_repartition	atmospheric_nitrate_concentration	atmospheric_BL_height	stratospheric_flux_repartition	stratospheric_d15N	stratospheric_D17O	long_distance_repartition	long_distance_d15N	long_distance_D17O	exported_fraction	ozone_column	PSS_constant_NO2	D17O_of_O3	x_factor	mean_solar_zenith_angle	air_temperature	air_pressure	Mean_wind_speed	Mean_wind_direction
weeks	fraction	ngNO3/m3	meters	fraction	permil	permil	fraction	permil	permil	fraction	dobson_units	constant	permil	adimen.	degrees	Kelvin	mbar	m/s	Degrees_0_is_North
0	0.02679616	5	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	112.9488015	212.35	646.2	2.7	186.3
1	0.003471567	5	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	112.6244941	212.35	646.2	2.7	186.3
2	0.010562638	5	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	111.9761178	217.75	648.4	3.3	195
3	0.043896677	5	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	111.0164033	217.75	648.4	3.3	195
4	0.028188552	5	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	109.76329	217.75	648.4	3.3	195
5	0.002797337	5	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	108.2390072	217.75	648.4	3.3	195
6	0.041852469	7	50	0	10	42	0.019230769	0	30	0.2	250	0.8	22.9	0.5	106.4690616	212.85	643	3.1	179.5
7	0.018182692	8	50	0	10	42	0.019230769	0	30	0.2	225	0.8	22.9	0.5	104.4812007	212.85	643	3.1	179.5
8	0.011189349	10	50	0	10	42	0.019230769	0	30	0.2	225	0.8	22.9	0.5	102.3044663	212.85	643	3.1	179.5
9	0.011619709	12	50	0	10	42	0.019230769	0	30	0.2	225	0.8	22.9	0.5	99.96848156	212.85	643	3.1	179.5
10	0.028941681	14	50	0	10	42	0.019230769	0	30	0.2	200	0.8	22.9	0.5	97.50300185	212.85	643	3.1	179.5
11	0.004088416	16	50	0	10	42	0.019230769	0	30	0.2	175	0.8	22.9	0.5	94.93776987	214.85	644.1	3.4	219.4
12	1.30184E-06	18	50	0	10	42	0.019230769	0	30	0.2	175	0.8	22.9	0.5	92.30265357	214.85	644.1	3.4	219.4
13	0.012588018	20	50	0	10	42	0.019230769	0	30	0.2	200	0.8	22.9	0.5	89.62802383	214.85	644.1	3.4	219.4
14	0.014524636	28	50	0	10	42	0.019230769	0	30	0.2	200	0.8	22.9	0.5	86.945207	214.85	644.1	3.4	219.4
15	0.014632226	44	50	0	10	42	0.019230769	0	30	0.2	225	0.8	22.9	0.5	84.28698529	214.75	635.6	3	213.3
16	0.010866579	60	50	0	10	42	0.019230769	0	30	0.2	250	0.8	22.9	0.5	81.68796481	214.75	635.6	3	213.3
17	0.023347007	75	50	0	10	42	0.019230769	0	30	0.2	250	0.8	22.9	0.5	79.18465627	214.75	635.6	3	213.3
18	0.005056725	90	50	0	10	42	0.019230769	0	30	0.2	250	0.8	22.9	0.5	76.81527514	214.75	635.6	3	213.3
19	0.007638882	102	50	0	10	42	0.019230769	0	30	0.2	250	0.8	22.9	0.5	74.61914883	230.45	648.1	3,8	192.2
20	0.009467911	107	50	0	10	42	0.019230769	0	30	0.2	250	0.8	22.9	0.5	72.63574722	230.45	648.1	3,8	192.2
21	0.007531293	108	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	70.9033962	230.45	648.1	3,8	192.2
22	0.010651399	110	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	69.45777508	230.45	648.1	3,8	192.2
23	0.01011345	108	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	68.33032238	230.45	648.1	3,8	192.2
24	0.018666847	105	50	0	10	42	0.019230769	0	30	0.2	300	0.8	22.9	0.5	67.54669728	240.75	647.1	2.6	211.8
25	0.010490015	95	50	0	10	42	0.019230769	0	30	0.2	300	0.8	22.9	0.5	67.12547654	240.75	647.1	2.6	211.8
26	0.024207726	85	50	0	10	42	0.019230769	0	30	0.2	300	0.8	22.9	0.5	67.07714447	240.75	647.1	2.6	211.8
27	0.013125967	70	50	0	10	42	0.019230769	0	30	0.2	300	0.8	22.9	0.5	68.09576518	240.75	647.1	2.6	211.8
28	1.30184E-06	50	50	0	10	42	0.019230769	0	30	0.2	300	0.8	22.9	0.5	69.14362571	242.05	657	2.6	194.2
29	0.027220243	42	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	70.52084275	242.05	657	2.6	194.2
30	0.055946745	36	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	72.19805125	242.05	657	2.6	194.2
31	0.011942478	32	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	74.14092068	242.05	657	2.6	194.2
32	0.058206132	29	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	76.31170236	229.55	648.5	3.5	198.7
33	0.020764849	25	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	78.67074034	229.55	648.5	3.5	198.7
34	1.30184E-06	20	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	81.17781755	229.55	648.5	3.5	198.7
35	0.048254067	15	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	83.7932262	229.55	648.5	3.5	198.7
36	0.048146477	10	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	86.47849583	229.55	648.5	3.5	198.7
37	0.029049271	7	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	89.19676954	218.25	642.3	3.4	189
38	0.032599738	5	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	91.91285229	218.25	642.3	3.4	189
39	0.001022104	5	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	94.59300948	218.25	642.3	3.4	189
40	0.051266584	5	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	97.20463256	218.25	642.3	3.4	189
41	0.007800267	5	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	99.715869	209.15	637.1	3	187.9
42	0.004626365	5	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	102.0953359	209.15	637.1	3	187.9
43	0.008445807	5	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	104.3120452	209.15	637.1	3	187.9
44	0.001183489	5	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	106.3355706	209.15	637.1	3	187.9
45	0.026574704	5	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	108.1364896	204.95	639.1	2.8	196.2
46	1.30184E-06	5	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	109.6870681	204.95	639.1	2.8	196.2
47	0.015277765	5	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	110.9621575	204.95	639.1	2.8	196.2
48	0.004088416	5	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	111.9401827	204.95	639.1	2.8	196.2
49	0.02990999	5	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	112.6040898	204.95	639.1	2.8	196.2
50	0.070041021	5	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	112.9421958	212.35	646.2	2.7	186.3
51	0.023132354	5	50	0	10	42	0.019230769	0	30	0.2	275	0.8	22.9	0.5	112.9488015	212.35	646.2	2.7	186.3
