SZA\Ozone_column_DU	0025DU	0050DU	0075DU	0100DU	0125DU	0150DU	0175DU	0200DU	0225DU	0250DU	0275DU	0300DU	0325DU	0350DU	0375DU	0400DU	0425DU	0450DU	0475DU	0500DU	0750DU	1000DU	1500DU	2000DU	3000DU	
9.000000000000000000e+01	6.885055451900001115e-06	3.704255373850000158e-06	2.554142543747800589e-06	1.954591678856499791e-06	1.584807636406100009e-06	1.333136114808900077e-06	1.150458039916999536e-06	1.011450354393540277e-06	9.022137439283998873e-07	8.139622795854000599e-07	7.411158352122000050e-07	6.799752618723999888e-07	6.279693216555998512e-07	5.830940178854998654e-07	5.441266685082998916e-07	5.098511029958001528e-07	4.795015144221500095e-07	4.524370214455999859e-07	4.281469182058500456e-07	4.062504708539899323e-07	2.662926867576999162e-07	1.958413866034800157e-07	1.255305237956600063e-07	9.079776465160000760e-08	5.658172912720999511e-08
8.900000000000000000e+01	1.044347834519999777e-05	5.653514219329999136e-06	3.908317180124999598e-06	2.994389507635799685e-06	2.430506916914900569e-06	2.045740388133699629e-06	1.766906158688399846e-06	1.554460980537599972e-06	1.387286502721199844e-06	1.252499869116399612e-06	1.141201063010800219e-06	1.047432210424199896e-06	9.679624697074999422e-07	8.995283297864002994e-07	8.399263175661999792e-07	7.873593330405500546e-07	7.407710972133498556e-07	6.992734705971499976e-07	6.622114637653999997e-07	6.284957465134001394e-07	4.135659062656000338e-07	3.048031020379599461e-07	1.958857998164800156e-07	1.418926574338099740e-07	8.874472507734998988e-08
8.800000000000000000e+01	1.514796322999999945e-05	8.255393320049999608e-06	5.724305301245001784e-06	4.392730082926601483e-06	3.569230968924699261e-06	3.007461317957299456e-06	2.599153739182999815e-06	2.288031490305199986e-06	2.043046424133899834e-06	1.846187854387599723e-06	1.683067932356999994e-06	1.546006860740999884e-06	1.429629703260799650e-06	1.329503288813799824e-06	1.242292615832900360e-06	1.165152278662699922e-06	1.096779813360100561e-06	1.035662676092450487e-06	9.810880907918500336e-07	9.319487563665001095e-07	6.157331075458000953e-07	4.552153966910600860e-07	2.935481707885999662e-07	2.130615148800400109e-07	1.337719698801999865e-07
8.700000000000000000e+01	2.097182464499999411e-05	1.151443226546000567e-05	8.016662801555999093e-06	6.166260505461798055e-06	5.009789656808701787e-06	4.234085100984798189e-06	3.658249835348800559e-06	3.220482755339800963e-06	2.880989571474800081e-06	2.602380145940799213e-06	2.373736718062599366e-06	2.185835479787998935e-06	2.018918919904699769e-06	1.879148041475699662e-06	1.754627043830400029e-06	1.649771776677699804e-06	1.553773370255250644e-06	1.467809334261149924e-06	1.391995607242800323e-06	1.325465561821200309e-06	8.769803988937001975e-07	6.494678805276000318e-07	4.217585846930999405e-07	3.057986780306500666e-07	1.937888823350499814e-07
8.600000000000000000e+01	2.811064489799999902e-05	1.552498420417999651e-05	1.085613012403000585e-05	8.367837083481799652e-06	6.814559061323697437e-06	5.751736777944700320e-06	4.978578283414401726e-06	4.390095251262799954e-06	3.927232386184099879e-06	3.552888397450999359e-06	3.244000040231199678e-06	2.984631495900000229e-06	2.763606134917798858e-06	2.572857345365499933e-06	2.406677075959398782e-06	2.260350628314099764e-06	2.130652405623749795e-06	2.014774538377999814e-06	1.910799083753200483e-06	1.816670277776699540e-06	1.211641994582100360e-06	9.022290660111000489e-07	5.872748255632999088e-07	4.285965852584000661e-07	2.712140454447999370e-07
8.500000000000000000e+01	3.656841219899999607e-05	2.032278839290000541e-05	1.427931259388099819e-05	1.103874700953500087e-05	9.006239047342897713e-06	7.611456143633198351e-06	6.594410312182899877e-06	5.820216800745601327e-06	5.210379709953800706e-06	4.717489835003600541e-06	4.310585967051001008e-06	3.968677032443999761e-06	3.677323664507298838e-06	3.425952415520799658e-06	3.206648528650600704e-06	3.013910162447900301e-06	2.842825689396199692e-06	2.689822530779500122e-06	2.552373746739499746e-06	2.428053904223700304e-06	1.627414922827200094e-06	1.216379570822619888e-06	7.963254919459998927e-07	5.832057154411000965e-07	3.706516576546499827e-07
8.400000000000000000e+01	4.652394045300000286e-05	2.600538690239999966e-05	1.836054684815499889e-05	1.424109625214479548e-05	1.164378813208069932e-05	9.854771292879203803e-06	8.547377123678598563e-06	7.550211263919600832e-06	6.764685740635299432e-06	6.128978001124797840e-06	5.604596478329000959e-06	5.163779255324000516e-06	4.787778953547300514e-06	4.463525216253899512e-06	4.180560595128100752e-06	3.931522434668299920e-06	3.710575452021200378e-06	3.513001372568299364e-06	3.335559793836451000e-06	3.175013815471799809e-06	2.137954141755600072e-06	1.603836112052799930e-06	1.055933232581699854e-06	7.762981688950001134e-07	4.955807167016500101e-07
8.300000000000000000e+01	5.811970300400001494e-05	3.265287822701998856e-05	2.316402542675500130e-05	1.802515152589950499e-05	1.477316297019760304e-05	1.252260181142020465e-05	1.087317378033080247e-05	9.613462390277399577e-06	8.619954865458298734e-06	7.815771694720000673e-06	7.151492933014999830e-06	6.592612140530998798e-06	6.116905880655001244e-06	5.705971557802499485e-06	5.347483019002300082e-06	5.031740135803300680e-06	4.751436479828099883e-06	4.500918572537900227e-06	4.275580326084949125e-06	4.071767705608600562e-06	2.753910946370699428e-06	2.072679868176799810e-06	1.371866354034600102e-06	1.012438275329100326e-06	6.492761230112001772e-07
8.200000000000000000e+01	7.148367142299999564e-05	4.033868068730000854e-05	2.873688633315600946e-05	2.243620761040360006e-05	1.842893754302710017e-05	1.564689909403939842e-05	1.360224492300320050e-05	1.203686255826219971e-05	1.080037415679629803e-05	9.798824188547601894e-06	8.970732305922003109e-06	8.275257665990999167e-06	7.681313998202501651e-06	7.168558506250002942e-06	6.720908086264600599e-06	6.327190109822600042e-06	5.977871204858399408e-06	5.665310851038199778e-06	5.384040455073699845e-06	5.129855667206897131e-06	3.482575270449099610e-06	2.628927591158601168e-06	1.748024317525200286e-06	1.294723219008999850e-06	8.339213924988499553e-07
8.100000000000000000e+01	8.671864558800000244e-05	4.910175619944999871e-05	3.511046342720701733e-05	2.749589917997749902e-05	2.263658204198669831e-05	1.924989715430270307e-05	1.675244679286030618e-05	1.483705146489539674e-05	1.332091176825699925e-05	1.209278901711600026e-05	1.107545335487000032e-05	1.022075539340700093e-05	9.491644917492999525e-06	8.861369900699001293e-06	8.311804713702502265e-06	7.827476049286497735e-06	7.397958436719599954e-06	7.013641979093999470e-06	6.668089948196249181e-06	6.355206110256499450e-06	4.328122839922999582e-06	3.275777324716199341e-06	2.187014453036600082e-06	1.624881891900400423e-06	1.050989949666899999e-06
