lambda(nm)	XsectionO3(cm2.molecule-1)
280	1.03E-19
281	1.05E-19
282	1.03E-19
283	1.05E-19
284	1.14E-19
285	1.15E-19
286	1.19E-19
287	1.15E-19
288	1.12E-19
289	1.18E-19
290	1.25E-19
291	1.28E-19
292	1.32E-19
293	1.31E-19
294	1.23E-19
295	1.38E-19
296	1.28E-19
297	1.52E-19
298	1.57E-19
299	1.50E-19
300	1.55E-19
301	1.48E-19
302	1.63E-19
303	1.75E-19
304	1.75E-19
305	1.86E-19
306	1.78E-19
307	1.92E-19
308	1.83E-19
309	2.03E-19
310	2.07E-19
311	2.12E-19
312	2.19E-19
313	2.32E-19
314	2.22E-19
315	2.44E-19
316	2.35E-19
317	2.46E-19
318	2.69E-19
319	2.58E-19
320	2.75E-19
321	2.74E-19
322	2.81E-19
323	2.92E-19
324	2.88E-19
325	3.11E-19
326	3.20E-19
327	3.21E-19
328	3.41E-19
329	3.27E-19
330	3.66E-19
331	3.47E-19
332	3.38E-19
333	4.13E-19
334	3.66E-19
335	4.00E-19
336	3.78E-19
337	3.94E-19
338	3.68E-19
339	4.40E-19
340	4.11E-19
341	4.43E-19
342	4.32E-19
343	3.87E-19
344	4.21E-19
345	4.32E-19
346	4.41E-19
347	4.73E-19
348	4.50E-19
349	5.06E-19
350	4.29E-19
