SZA\Ozone_column_DU	200DU	225DU	250DU	275DU	300DU	325DU	350DU	375DU	400DU	425DU	450DU	475DU	500DU	
9.000000000000000000e+01	8.733911619694900664e-05	8.547314869997240619e-05	8.376630365694984258e-05	8.219035317243617196e-05	8.072690318312125506e-05	7.935740727603881434e-05	7.807255358555853172e-05	7.685929747762555795e-05	7.571411778954804039e-05	7.462147176986137906e-05	7.358763542319866251e-05	7.259853364149057348e-05	7.165046346347711634e-05
8.900000000000000000e+01	1.358561467356109208e-04	1.330746773520525466e-04	1.305264489670392495e-04	1.281727761220733124e-04	1.259811483841683411e-04	1.239325313425337384e-04	1.220056719220384301e-04	1.201865545856444612e-04	1.184687791920494834e-04	1.168327634676439452e-04	1.152763132458544250e-04	1.137898410788894417e-04	1.123651059181669229e-04
8.800000000000000000e+01	1.962445286291531062e-04	1.923937559017904471e-04	1.888588106946991699e-04	1.855925777627147810e-04	1.825516828524053519e-04	1.797042840787782547e-04	1.770291809003667505e-04	1.745005062392541160e-04	1.721088741438247345e-04	1.698339971235264187e-04	1.676623838767930732e-04	1.655897354210135865e-04	1.636045187460013421e-04
8.700000000000000000e+01	2.663069801934579836e-04	2.612570614158238520e-04	2.566712269553635020e-04	2.524217884792206773e-04	2.484262634397272230e-04	2.447313305303780635e-04	2.412317411985832308e-04	2.379096170191716383e-04	2.348029033323121293e-04	2.318106382825829205e-04	2.289707325695729539e-04	2.262557863925276154e-04	2.236527649910828965e-04
8.600000000000000000e+01	3.447096514964966257e-04	3.384431210161036171e-04	3.327129146178034588e-04	3.274214712892938809e-04	3.224564545831614683e-04	3.178061818398303156e-04	3.134366245364417127e-04	3.092900921811996191e-04	3.053775109897204944e-04	3.016764135308425067e-04	2.981082302609803125e-04	2.947096532578768698e-04	2.914510970482006645e-04
8.500000000000000000e+01	4.305360897631497390e-04	4.230090997596764463e-04	4.160700825617121793e-04	4.096231258609450026e-04	4.036585014726111476e-04	3.980406918824392574e-04	3.927715789550668144e-04	3.877654929631550360e-04	3.830514629184394505e-04	3.785320028452273094e-04	3.742304126308065035e-04	3.701449572371137242e-04	3.661615629086090412e-04
8.400000000000000000e+01	5.229520009068533990e-04	5.140843432567233310e-04	5.059175681100779032e-04	4.983640141787902501e-04	4.913234677302910202e-04	4.847243611258394264e-04	4.784644326894347969e-04	4.726126732142960714e-04	4.670428811196638630e-04	4.617206849674638158e-04	4.566159555193543456e-04	4.518129089808063182e-04	4.471548291833755615e-04
8.300000000000000000e+01	6.213145953492039443e-04	6.110356736043521001e-04	6.016462474538798212e-04	5.929422425469614132e-04	5.847775236680848900e-04	5.771503447170661053e-04	5.699961239397685186e-04	5.631953631058036211e-04	5.567094190624111410e-04	5.505955729467907830e-04	5.447270578089326125e-04	5.391107110105541238e-04	5.337245229410234526e-04
8.200000000000000000e+01	7.249143996031124325e-04	7.133041065847004836e-04	7.025952634478573652e-04	6.927026917479229499e-04	6.834365604871556503e-04	6.747819604859932058e-04	6.666043760099447544e-04	6.588816026498525973e-04	6.515345545269932799e-04	6.445677906275332474e-04	6.378817233020939734e-04	6.314632477934927239e-04	6.253543593137916683e-04
8.100000000000000000e+01	8.332735407433360022e-04	8.202587948198630623e-04	8.082318710365566511e-04	7.971206085667889877e-04	7.867563998676252316e-04	7.770274854609527000e-04	7.678689930092536019e-04	7.591678537369170353e-04	7.509353925254483352e-04	7.430693254795404110e-04	7.355810529215648253e-04	7.283783063504299530e-04	7.215219391926819921e-04
