SZA\Ozone_column_DU	200DU	225DU	250DU	275DU	300DU	325DU	350DU	375DU	400DU	425DU	450DU	475DU	500DU	
9.000000000000000000e+01	1.126856366159982362e-06	1.007476029594495435e-06	9.109126882015846352e-07	8.312097077060443519e-07	7.642330696631623409e-07	7.071414361701968040e-07	6.578426796301087592e-07	6.148757773646968561e-07	5.770832549588210484e-07	5.434689392547829028e-07	5.135312715443399777e-07	4.866101003577051171e-07	4.622904175894703149e-07
8.900000000000000000e+01	1.778040272993029597e-06	1.591152591938079651e-06	1.440050455180493765e-06	1.315157898210603814e-06	1.210045426558397038e-06	1.120486891770906385e-06	1.043054095489709813e-06	9.754292221435463860e-07	9.159857277806493833e-07	8.631495318514568309e-07	8.159738525834552636e-07	7.735382728162073092e-07	7.351458106708096579e-07
8.800000000000000000e+01	2.643170298504629612e-06	2.367836105008167950e-06	2.144766357594752258e-06	1.960317367428763100e-06	1.805159288196775505e-06	1.672647867807039841e-06	1.558048239308683075e-06	1.457947752729780135e-06	1.369925036161914773e-06	1.291692931669511503e-06	1.221665546599585874e-06	1.158629160763971536e-06	1.101709493726663210e-06
8.700000000000000000e+01	3.726020934859481270e-06	3.340665066589047634e-06	3.028479541056133403e-06	2.770189486049152416e-06	2.552742888590338628e-06	2.366889876469991756e-06	2.206201968323384567e-06	2.065778595203175833e-06	1.942078081056115520e-06	1.832041489200106280e-06	1.733673804905789790e-06	1.645055865561630301e-06	1.564962360102573880e-06
8.600000000000000000e+01	5.035210492809648333e-06	4.517705044393554425e-06	4.098387353116544726e-06	3.751502889110394857e-06	3.459140089900584589e-06	3.209257846147641337e-06	2.993070185798033715e-06	2.804126350137904638e-06	2.637531623494608153e-06	2.489549562470011013e-06	2.356890158223150321e-06	2.237636539122542860e-06	2.129512414111057915e-06
8.500000000000000000e+01	6.578798578542822061e-06	5.906834241760409368e-06	5.361840730408431878e-06	4.910581039609875984e-06	4.530683741218474236e-06	4.205731668516520185e-06	3.924130779432304646e-06	3.678447929206418877e-06	3.461609741309740572e-06	3.268822581502895329e-06	3.095946261844075818e-06	2.940460709664649534e-06	2.799627135727228733e-06
8.400000000000000000e+01	8.364460087719275685e-06	7.514116157020493787e-06	6.824826807108199789e-06	6.253663252361995670e-06	5.772311177350298924e-06	5.360681763701850017e-06	5.004305488876891805e-06	4.693004927958236073e-06	4.418174624261088338e-06	4.173596446925979987e-06	3.954522965200436985e-06	3.757682994324877764e-06	3.579101143760817888e-06
8.300000000000000000e+01	1.040036956632125452e-05	9.347169400397784474e-06	8.493083997282399429e-06	7.785464752238022479e-06	7.188946316598391282e-06	6.678635529856733507e-06	6.237831641615618169e-06	5.851528642507799784e-06	5.510581409528280074e-06	5.207802091638058479e-06	4.936350895222403891e-06	4.691851580558226936e-06	4.470463408300813637e-06
8.200000000000000000e+01	1.269014424898050951e-05	1.140946989876152545e-05	1.037063697318590472e-05	9.510156667679806256e-06	8.784265543675541765e-06	8.164072847915942226e-06	7.626972427575670721e-06	7.157220890284993580e-06	6.742594364196369265e-06	6.374106665351243836e-06	6.043261222847719425e-06	5.745441774583785482e-06	5.475947249307821232e-06
8.100000000000000000e+01	1.523890207170316473e-05	1.370592369125032704e-05	1.246098452992075519e-05	1.143011307665430971e-05	1.056129975019205894e-05	9.818332448715993190e-06	9.174734496634246621e-06	8.611715227276559996e-06	8.115161967062806253e-06	7.673514028807761907e-06	7.277450450575300362e-06	6.920629904525186177e-06	6.597129800812598950e-06
8.000000000000000000e+01	1.804869744085009213e-05	1.623687793807059907e-05	1.476726198280884234e-05	1.354788770781040630e-05	1.252072502632452222e-05	1.164233155254335936e-05	1.088226851204613121e-05	1.021767155079403235e-05	9.630143258729749727e-06	9.107676491806211480e-06	8.639125217266356606e-06	8.218172916429432098e-06	7.835754115245726907e-06
7.900000000000000000e+01	2.112146576642694255e-05	1.900533675007655957e-05	1.728692071585537400e-05	1.586524110795174092e-05	1.466512604668666444e-05	1.363879505224860250e-05	1.275047810287206755e-05	1.197391449935809844e-05	1.128751295197808758e-05	1.067706779920005944e-05	1.013066357414914688e-05	9.638166868557020712e-06	9.191861197802841322e-06
