lambda(nm)	XsectionO3(cm2.molecule-1)
280	3.919E-18
281	3.569E-18
282	3.144E-18
283	2.923E-18
284	2.621E-18
285	2.387E-18
286	2.169E-18
287	1.952E-18
288	1.679E-18
289	1.512E-18
290	1.352E-18
291	1.213E-18
292	1.042E-18
293	9.42E-19
294	8.135E-19
295	7.271E-19
296	6.258E-19
297	5.529E-19
298	4.71E-19
299	4.229E-19
300	3.626E-19
301	3.14E-19
302	2.782E-19
303	2.328E-19
304	2.135E-19
305	1.761E-19
306	1.575E-19
307	1.365E-19
308	1.197E-19
309	1.091E-19
310	8.779E-20
311	7.965E-20
312	6.756E-20
313	5.793E-20
314	5.366E-20
315	4.218E-20
316	3.876E-20
317	3.441E-20
318	3.087E-20
319	2.048E-20
320	2.895E-20
321	1.446E-20
322	2.181E-20
323	1.561E-20
324	8.416E-21
325	1.496E-20
326	7.971E-21
327	6.168E-21
328	1.163E-20
329	3.933E-21
330	3.102E-21
331	7.286E-21
332	2.707E-21
333	2.332E-21
334	4.081E-21
335	1.467E-21
336	9.616E-22
337	2.098E-21
338	1.461E-21
339	6.883E-22
340	1.5E-21
341	6.998E-22
342	3.825E-22
343	4.477E-22
344	1.264E-21
345	4.467E-22
346	0
347	0
348	0
349	0
350	0
