Mid depth, cm	NO3 ppbw	d15N corr	D17O corr
0.2	502.8	-4.7	28.1
2.5	277.6	0.3	28.3
7.5	96.3	0.9	29.5
11.5	158.2	4.0	32.8
14.5	91.6	3.6	32.7
17	116.9	1.3	nan
19	74.5	1.7	33.5
23.5	63.1	-0.8	33.6
27.5	54.2	-2.5	35.2
32	56.2	-7.5	31.8
37	70.2	-12.4	35.5
42.5	120.2	-12.5	34.7
48	91.8	-8.5	33.1
53.5	118.1	-6.6	31.9
57.5	111.8	-4.6	30.0
61.5	123.2	-0.9	27.5
66.5	138.8	-1.3	26.2
71	268.5	6.4	27.8
74.5	145.7	4.3	nan
79	140.8	nan	nan
83.5	101.0	7.4	33.5
87.5	92.3	5.5	32.9
92.5	66.3	-1.5	32.6
97	64.2	-0.4	32.0
101.5	72.9	-2.9	31.9
107	92.6	-5.1	31.9
113.5	91.8	-6.9	31.9
119.5	81.3	-4.9	28.9
124.5	146.3	1.2	26.9
128.5	246.5	7.2	26.4
132.5	218.4	10.1	28.3
137.5	95.3	4.8	30.9
142.5	88.7	8.2	29.7
147	111.4	6.0	30.1
151.5	140.8	7.3	31.1
156	168.2	7.4	31.6
161	133.9	0.4	31.3
166	101.5	-4.0	31.3
170.5	70.8	-7.0	32.4
175	40.5	-11.9	31.0
179.5	66.7	-12.6	32.2
184	106.8	-12.0	33.7
187	74.4	-10.5	32.4
191.5	67.8	-6.7	31.4
197.5	139.4	-1.9	30.5
202.5	273.4	-0.9	27.7
207.5	279.5	4.1	27.0
