SZA\Ozone_column_DU	150DU	175DU	200DU	225DU	250DU	275DU	300DU	325DU	350DU	375DU	400DU	
9.000000000000000000e+01	1.133230681850894596e-06	9.798622951692781062e-07	8.633532418622093052e-07	7.716732566056923292e-07	6.975927552471258624e-07	6.363570174490927334e-07	5.849740549935689241e-07	5.411345930987835372e-07	5.033203298548386326e-07	4.703553136392520357e-07	4.413213688783075442e-07
8.900000000000000000e+01	1.776558056180505219e-06	1.538083878118658627e-06	1.356787597569072184e-06	1.213938961240924036e-06	1.098372003574695253e-06	1.002924540379570751e-06	9.225218114461583886e-07	8.540339502643604785e-07	7.948521036160603032e-07	7.432245233554800905e-07	6.977835960646864373e-07
8.800000000000000000e+01	2.628266995623055540e-06	2.278626257836161218e-06	2.011947670027843328e-06	1.801936860095205596e-06	1.631833852691821537e-06	1.491140126485946062e-06	1.372845431182105900e-06	1.271761634122774248e-06	1.184455288606233193e-06	1.108180604601118089e-06	1.041050519728173523e-06
8.700000000000000000e+01	3.693091937594993770e-06	3.204757655521466969e-06	2.832761700630033047e-06	2.539172445285002520e-06	2.301577302207792588e-06	2.104758392583077151e-06	1.939092965803976982e-06	1.797648857017348972e-06	1.675288172401407168e-06	1.568501632143394089e-06	1.474256218076308787e-06
8.600000000000000000e+01	4.980486371184067680e-06	4.325781397640288629e-06	3.826842928705823464e-06	3.433045578712992471e-06	3.113987653123075750e-06	2.849883893622957515e-06	2.627269702801650852e-06	2.437046797385679462e-06	2.272708236163909009e-06	2.128966399126502305e-06	2.002186647557704727e-06
8.500000000000000000e+01	6.500865916706841701e-06	5.650770783783424760e-06	5.002636107490462544e-06	4.491033489701125280e-06	4.076196373458867722e-06	3.732719120253053813e-06	3.443103882677412919e-06	3.195671660186355150e-06	2.981628286868070573e-06	2.794593083351249210e-06	2.629542779533444670e-06
8.400000000000000000e+01	8.265716752348638025e-06	7.189660517368029664e-06	6.369173340551398334e-06	5.720896602106142437e-06	5.195595060208802241e-06	4.760221413771377058e-06	4.393169736694168957e-06	4.079720710896986756e-06	3.808260502028869110e-06	3.570964816852370997e-06	3.361566027325058037e-06
8.300000000000000000e+01	1.028710662789484092e-05	8.953102315870842110e-06	7.935702524592472805e-06	7.131769251698265591e-06	6.480187960676077735e-06	5.940149080520569768e-06	5.484901841336971730e-06	5.095638557336757397e-06	4.758571469407700895e-06	4.463841473931777247e-06	4.203790466219963684e-06
8.200000000000000000e+01	1.257888605531761521e-05	1.095444046623742136e-05	9.713694527953920042e-06	8.733901352789633088e-06	7.939382540329006590e-06	7.280656998841607374e-06	6.725931810996673424e-06	6.250935540606840142e-06	5.839858125976663946e-06	5.480226858691969460e-06	5.162684643280241716e-06
8.100000000000000000e+01	1.515543156050850343e-05	1.320405082009583525e-05	1.171483845232867101e-05	1.053786321341888723e-05	9.583034223691541133e-06	8.791254633141184379e-06	8.124111821390216499e-06	7.553559183685030951e-06	7.059139654666438696e-06	6.626963733581605729e-06	6.244993728350608578e-06
8.000000000000000000e+01	1.803116543682203174e-05	1.571712153676004523e-05	1.394903401870345592e-05	1.255279159639532036e-05	1.141920537996693978e-05	1.048031255366815437e-05	9.688066149999502652e-06	9.010557668477963683e-06	8.423861384950894895e-06	7.910442771501606068e-06	7.456799472870979527e-06
7.900000000000000000e+01	2.122085147343274322e-05	1.850347275405194177e-05	1.642970417853094748e-05	1.479034859628984723e-05	1.345901088268851803e-05	1.235590696819907351e-05	1.142526907566659911e-05	1.062953501772190745e-05	9.940271899345264352e-06	9.336993308434225088e-06	8.804460959549082846e-06
7.800000000000000000e+01	2.473278754322841852e-05	2.157532238591686416e-05	1.916309896859199474e-05	1.725668737261727931e-05	1.570887359403955495e-05	1.442473477498417634e-05	1.334284233385198862e-05	1.241675093159960642e-05	1.161453154014025255e-05	1.091316762714169036e-05	1.029277588120271448e-05
7.700000000000000000e+01	2.857913203317760263e-05	2.494005763107462066e-05	2.215888408296746854e-05	1.996024208779393903e-05	1.817399265950962132e-05	1.669443676244840901e-05	1.544575058110408063e-05	1.437765494448381552e-05	1.345170233686238150e-05	1.264163366937003425e-05	1.192650940067051073e-05
7.600000000000000000e+01	3.277032715785499890e-05	2.860566288334519443e-05	2.542209638024038888e-05	2.290499791423699551e-05	2.086135553167753955e-05	1.916604204726483218e-05	1.773676103478352586e-05	1.651442884348434565e-05	1.545370294022434517e-05	1.452712898783889509e-05	1.370846151620424237e-05
7.500000000000000000e+01	3.730542301246951749e-05	3.257577183498990876e-05	2.895825791202034320e-05	2.609618405252054100e-05	2.377313621705155535e-05	2.184658986152473070e-05	2.022124866401074712e-05	1.883062615574670261e-05	1.762648256513509233e-05	1.657045904531360419e-05	1.563928615842953665e-05
