SZA\Ozone_column_DU	150DU	175DU	200DU	225DU	250DU	275DU	300DU	325DU	350DU	375DU	400DU	
9.000000000000000000e+01	7.189534439437268178e-05	7.007001136182856339e-05	6.843474087507815391e-05	6.695232168181453265e-05	6.560210609511854367e-05	6.434638423020208175e-05	6.318105556934039272e-05	6.209680981399314924e-05	6.108069603484110978e-05	6.011499653218436870e-05	5.920631746704223313e-05
8.900000000000000000e+01	1.110530369954524461e-04	1.083444228690710496e-04	1.059169168882955332e-04	1.037241769686987809e-04	1.017151580205161713e-04	9.986213983663386337e-05	9.812237205400645243e-05	9.651230013886687165e-05	9.499385893741510705e-05	9.356128217785075469e-05	9.220811719672540997e-05
8.800000000000000000e+01	1.594364070052791934e-04	1.557240111691628051e-04	1.523836916282971356e-04	1.493623844625239616e-04	1.465853179046303480e-04	1.440204095462962292e-04	1.416404761545328548e-04	1.394077689665928230e-04	1.372989989750362638e-04	1.353159532458746248e-04	1.334417044896048482e-04
8.700000000000000000e+01	2.153606607581245102e-04	2.105295741381803742e-04	2.062193906142472451e-04	2.022783063225399962e-04	1.986833912753874513e-04	1.953446638935455446e-04	1.922452778401655745e-04	1.893444840499095927e-04	1.866095637039858488e-04	1.840305707003812516e-04	1.815742634847952275e-04
8.600000000000000000e+01	2.778748819930475017e-04	2.718899864127100161e-04	2.665119023800618242e-04	2.616349057354390786e-04	2.571531313558315219e-04	2.530069772139328845e-04	2.491430515461193250e-04	2.455152739750419500e-04	2.421204153781929616e-04	2.388973979619260133e-04	2.358433703354620697e-04
8.500000000000000000e+01	3.464079300780101788e-04	3.392066025525908757e-04	3.327387431284880648e-04	3.268606442255238905e-04	3.214659563405155131e-04	3.164612810808796863e-04	3.118029316149671572e-04	3.074454715453680685e-04	3.033264939770852859e-04	2.994447546610465457e-04	2.957590213394816533e-04
8.400000000000000000e+01	4.206974203463069569e-04	4.122262868034905908e-04	4.046337146409966076e-04	3.977186454357770659e-04	3.913765500290429023e-04	3.854926604790341778e-04	3.800086491662594689e-04	3.748672451268213754e-04	3.700259140978486927e-04	3.654459959135781090e-04	3.611041784612546214e-04
8.300000000000000000e+01	5.006805896876428833e-04	4.909111750987628711e-04	4.821372076370589090e-04	4.741628893031680299e-04	4.668284886700068271e-04	4.600374131289952607e-04	4.537011779636113888e-04	4.477613295266228647e-04	4.421652878416543805e-04	4.368625130991681265e-04	4.318365655709983496e-04
8.200000000000000000e+01	5.864158668005957798e-04	5.753153410601468841e-04	5.653348772226043624e-04	5.562587212994624455e-04	5.479063812206380873e-04	5.401715424930743229e-04	5.329513035155921492e-04	5.261722528029191045e-04	5.198014905479489065e-04	5.137610689860248490e-04	5.080244313162716931e-04
8.100000000000000000e+01	6.780121769700971860e-04	6.654922786434279425e-04	6.543400617516276826e-04	6.440526518171834454e-04	6.347025516574615828e-04	6.259291871605259048e-04	6.178116582770330463e-04	6.101786785233084603e-04	6.030243863609527442e-04	5.961812552064468937e-04	5.897141545402072088e-04
8.000000000000000000e+01	7.753557216300271428e-04	7.615111982278737661e-04	7.489792046751496445e-04	7.376068796608174121e-04	7.270653867662406084e-04	7.173915468882923049e-04	7.083633953586992776e-04	6.997678498384574293e-04	6.917628701826580894e-04	6.841900809545771282e-04	6.769435394864977383e-04
7.900000000000000000e+01	8.785179620344733429e-04	8.631585976175191023e-04	8.493460302483090210e-04	8.367847724312808605e-04	8.251935620004733924e-04	8.144025896137214397e-04	8.043549695922286259e-04	7.949231991014940862e-04	7.861033775535154885e-04	7.775883985082376491e-04	7.696010206936744957e-04
7.800000000000000000e+01	9.872367319552048399e-04	9.703969919517184623e-04	9.551546532063319569e-04	9.413620440375891716e-04	9.286653843490820341e-04	9.167793569529373134e-04	9.057734511510013393e-04	8.953691807406767914e-04	8.855975506148187253e-04	8.763317190909214070e-04	8.675348375110097541e-04
7.700000000000000000e+01	1.101188616147636941e-03	1.082787463926151387e-03	1.066253272803600535e-03	1.051152948405065495e-03	1.037211945595930022e-03	1.024322330902775052e-03	1.012219101452587833e-03	1.001023624276392273e-03	9.903283941200278009e-04	9.800694517987718676e-04	9.705112865696225973e-04
