SZA\Ozone_column_DU	150DU	175DU	200DU	225DU	250DU	275DU	300DU	325DU	350DU	375DU	400DU	
9.000000000000000000e+01	1.133530639177211682e-06	9.801213105600437373e-07	8.635812008160588249e-07	7.718768087526297642e-07	6.977766077474588964e-07	6.365246023750468687e-07	5.851280018894530460e-07	5.412769136206722981e-07	5.034526293066697932e-07	4.704788831208615823e-07	4.414372542104002369e-07
8.900000000000000000e+01	1.777028220678132645e-06	1.538490387055132245e-06	1.357145784562513474e-06	1.214259122331649729e-06	1.098661435642242334e-06	1.003188618284595435e-06	9.227645512364675946e-07	8.542585283521331243e-07	7.950609995533249059e-07	7.434197482553957942e-07	6.979667956420093270e-07
8.800000000000000000e+01	2.628962585548299949e-06	2.279228505889981844e-06	2.012478830770214123e-06	1.802412109790781574e-06	1.632263867155387272e-06	1.491532763891679399e-06	1.373206670012828833e-06	1.272096064594898746e-06	1.184766582062552513e-06	1.108471698338928260e-06	1.041323846616540868e-06
8.700000000000000000e+01	3.694069514687358423e-06	3.205604831408905697e-06	2.833509686518162498e-06	2.539842248685662754e-06	2.302183904427605749e-06	2.105312693250146377e-06	1.939603283091614423e-06	1.798121651872520239e-06	1.675728532084894571e-06	1.568913704139033339e-06	1.474643340708641019e-06
8.600000000000000000e+01	4.981805087573219196e-06	4.326925220729937874e-06	3.827853665357476036e-06	3.433951408133382689e-06	3.114808581149237800e-06	2.850634613994849892e-06	2.627961298756858328e-06	2.437687913099387523e-06	2.273305773191345151e-06	2.129525845692761725e-06	2.002712519950097054e-06
8.500000000000000000e+01	6.502587714688597461e-06	5.652265398935256641e-06	5.003957768132904531e-06	4.492218803854641500e-06	4.077271254605519320e-06	3.733702656916590269e-06	3.444010468842326664e-06	3.196512557915578597e-06	2.982412403596412221e-06	2.795327618079332013e-06	2.630233588399833545e-06
8.400000000000000000e+01	8.267906502919766972e-06	7.191562585302503428e-06	6.370856376318160401e-06	5.722406801244890827e-06	5.196965366876277084e-06	4.761475894893074349e-06	4.394326657692921270e-06	4.080794388242199262e-06	3.809262142004821516e-06	3.571903529758898367e-06	3.362449247567185766e-06
8.300000000000000000e+01	1.028983203135176259e-05	8.955470970169686533e-06	7.937799505934052717e-06	7.133651841050796663e-06	6.481896986802246516e-06	5.941714402822615263e-06	5.486346136086780175e-06	5.096979453779416397e-06	4.759822902061563208e-06	4.465014735797604559e-06	4.204894801249745394e-06
8.200000000000000000e+01	1.258221782263151649e-05	1.095733776676948633e-05	9.716260492179306589e-06	8.736206015495951983e-06	7.941475561842115791e-06	7.282574736844417518e-06	6.727702079950984644e-06	6.252579646257580319e-06	5.841393132335304514e-06	5.481666490997691054e-06	5.164040120852566484e-06
8.100000000000000000e+01	1.515944330545505822e-05	1.320754074199874888e-05	1.171793076559742311e-05	1.054064171831133486e-05	9.585558456432672302e-06	8.793568246036022806e-06	8.126248143763869616e-06	7.555544021912272522e-06	7.060993329953430952e-06	6.628702847495467273e-06	6.246631662006665639e-06
