SZA\Ozone_column_DU	150DU	175DU	200DU	225DU	250DU	275DU	300DU	325DU	350DU	375DU	400DU	
9.000000000000000000e+01	7.185491333448812466e-05	7.003062232161777327e-05	6.839628426002454986e-05	6.691470954704937428e-05	6.556526254739114914e-05	6.431025486661662077e-05	6.314558854652880648e-05	6.206195874243358875e-05	6.104642191873200564e-05	6.008127037608491369e-05	5.917310673735715011e-05
8.900000000000000000e+01	1.109905765918131875e-04	1.082835097158118555e-04	1.058573887628987310e-04	1.036658988711481184e-04	1.016580242598494137e-04	9.980606076062862437e-05	9.806728244263698152e-05	9.645812580976713543e-05	9.494054728592145201e-05	9.350878397104293643e-05	9.215638702058420360e-05
8.800000000000000000e+01	1.593467178155332387e-04	1.556364443057978674e-04	1.522980321675988097e-04	1.492784486346864241e-04	1.465029649659497981e-04	1.439395175432065519e-04	1.415609388027802183e-04	1.393295016989092169e-04	1.372219304929562654e-04	1.352400116076260333e-04	1.333668273702122149e-04
8.700000000000000000e+01	2.152394884764735616e-04	2.104111657720428232e-04	2.061034455694502206e-04	2.021646111483310908e-04	1.985717467933111708e-04	1.952349224130078137e-04	1.921373018223298992e-04	1.892381593272248006e-04	1.865047949698562624e-04	1.839272684551012099e-04	1.814723572494484889e-04
8.600000000000000000e+01	2.777185122300598408e-04	2.717370433562849019e-04	2.663620349375734188e-04	2.614878246896491700e-04	2.570086085756929082e-04	2.528648193541703374e-04	2.490030961229905632e-04	2.453773849557557138e-04	2.419844591759340844e-04	2.387632756355060281e-04	2.357109849242616469e-04
8.500000000000000000e+01	3.462129981158173575e-04	3.390157964028433233e-04	3.325516381623182314e-04	3.266768995734123165e-04	3.212852930052399552e-04	3.162834739259261663e-04	3.116277812231795473e-04	3.072728047990474815e-04	3.031561734112321604e-04	2.992766440782935870e-04	2.955930080643450635e-04
8.400000000000000000e+01	4.204607809740580431e-04	4.119945027359880928e-04	4.044062772545845290e-04	3.974951627400358451e-04	3.911566910732996397e-04	3.852761607591449712e-04	3.797952781317929789e-04	3.746568053841401423e-04	3.698182329279689072e-04	3.652409228897891325e-04	3.609015768031538030e-04
8.300000000000000000e+01	5.003992489407215567e-04	4.906354345159217320e-04	4.818664902595829955e-04	4.738967326976874250e-04	4.665665227937262969e-04	4.597793243620315411e-04	4.534467039286099363e-04	4.475102418041736110e-04	4.419173884710646738e-04	4.366176331636073028e-04	4.315945460119962381e-04
8.200000000000000000e+01	5.860869357836239694e-04	5.749927711432744259e-04	5.650180194273296758e-04	5.559470522899932939e-04	5.475994823940304960e-04	5.398690575046641207e-04	5.326529352267429405e-04	5.258777470744165506e-04	5.195106124961532340e-04	5.134736283541831061e-04	5.077402534098986566e-04
8.100000000000000000e+01	6.776328340607521653e-04	6.651201044890112492e-04	6.539742655275397176e-04	6.436927308718194077e-04	6.343479661588136012e-04	6.255796025609215369e-04	6.174666973233843654e-04	6.098380619876859511e-04	6.026878393019366236e-04	5.958485973978844752e-04	5.893851706155678934e-04
8.000000000000000000e+01	7.749233046271396556e-04	7.610867002520628347e-04	7.485618634383894897e-04	7.371960251152553283e-04	7.266605381091566923e-04	7.169922052854415953e-04	7.079691887657408016e-04	6.993785266870162229e-04	6.913780930971732876e-04	6.838096012534939988e-04	6.765671695240255568e-04
7.900000000000000000e+01	8.780298194844166374e-04	8.626792257905861912e-04	8.488745336492874161e-04	8.363204288890067634e-04	8.247358112872901119e-04	8.139509692107163748e-04	8.039090533554090704e-04	7.944826311009407132e-04	7.856678081616894635e-04	7.771576509648009433e-04	7.691747929389014613e-04
7.800000000000000000e+01	9.866903628805892123e-04	9.698602205776754972e-04	9.546265555673795131e-04	9.408417848641570510e-04	9.281523314197039770e-04	9.162730421189608804e-04	9.052733698074441658e-04	8.948749870977782284e-04	8.851088821779878966e-04	8.758482850251634450e-04	8.670563707445000422e-04
7.700000000000000000e+01	1.100581663453413300e-03	1.082190977393725001e-03	1.065666176288864201e-03	1.050574414199848114e-03	1.036641305406285803e-03	1.023758981898829218e-03	1.011662591375456829e-03	1.000473434920441879e-03	9.897842370011264695e-04	9.795310760631554051e-04	9.699782940967051348e-04
7.600000000000000000e+01	1.219512791106347385e-03	1.199573582405933378e-03	1.181539582767576280e-03	1.165135840050096844e-03	1.149995559615482653e-03	1.136054030078151615e-03	1.122894492618273362e-03	1.110705455347652405e-03	1.098957773405412645e-03	1.088001548296296936e-03	1.077558040161085990e-03
7.500000000000000000e+01	1.342971160580510139e-03	1.321417373077234114e-03	1.301985894052524583e-03	1.284155313905625167e-03	1.267918689265942972e-03	1.252738185538073389e-03	1.238571167092229102e-03	1.225323586807251395e-03	1.212763639805452924e-03	1.200815262194597239e-03	1.189545566012204306e-03
7.400000000000000000e+01	1.470554453004213787e-03	1.447405243986391770e-03	1.426427856035997156e-03	1.407354332055032542e-03	1.389858248846307601e-03	1.373536948397851209e-03	1.358289831196084121e-03	1.343983491859170997e-03	1.330491226152543142e-03	1.317610573028253195e-03	1.305478929115526160e-03
7.300000000000000000e+01	1.601932954783801422e-03	1.577024554733602157e-03	1.554623127343171367e-03	1.534232293435343038e-03	1.515415351611821464e-03	1.498018113037814835e-03	1.481650666600418898e-03	1.466296893125637645e-03	1.451806363418428527e-03	1.438095874755260977e-03	1.424945917646963135e-03
7.200000000000000000e+01	1.736575839402473495e-03	1.710101407501156412e-03	1.686207554609983920e-03	1.664382674537389761e-03	1.644381395734287234e-03	1.625638839832521882e-03	1.608221486865440931e-03	1.591830238494210516e-03	1.576337927754022615e-03	1.561715961371730466e-03	1.547712008681443284e-03
7.100000000000000000e+01	1.874205798187046938e-03	1.846021334581522851e-03	1.820596681896949776e-03	1.797436603667371645e-03	1.776140306067155181e-03	1.756246315856305890e-03	1.737705288959148038e-03	1.720270022895355189e-03	1.703794847399836511e-03	1.688163135921919673e-03	1.673354921198246534e-03
7.000000000000000000e+01	2.014397475449400138e-03	1.984522993522215735e-03	1.957626619583394210e-03	1.932961328373843058e-03	1.910380714225855476e-03	1.889261059744600044e-03	1.869632350616300294e-03	1.851212513996846687e-03	1.833725966461354547e-03	1.817203877139375763e-03	1.801426187535919154e-03
6.900000000000000000e+01	2.156700906203104853e-03	2.125211679807646921e-03	2.096794769765133060e-03	2.070908969359610587e-03	2.046840195389480928e-03	2.024681301727824113e-03	2.003889980794873720e-03	1.984318236058024796e-03	1.965854768525081633e-03	1.948357891548252278e-03	1.931748468137159521e-03
6.800000000000000000e+01	2.301033736642517889e-03	2.267833374241617645e-03	2.237733132638663504e-03	2.210411211551562526e-03	2.185168329186676535e-03	2.161822372654447974e-03	2.139866087772048127e-03	2.119225771025055188e-03	2.099807785467351726e-03	2.081375653751194564e-03	2.063722765642055437e-03
6.700000000000000000e+01	2.446748098648640797e-03	2.411799720816138609e-03	2.380301254704004880e-03	2.351543406627414241e-03	2.325042462023614500e-03	2.300386399119585656e-03	2.277397894718489416e-03	2.255719547821051323e-03	2.235183579457703136e-03	2.215832212771740809e-03	2.197314951053885509e-03
6.600000000000000000e+01	2.593741899785600730e-03	2.557054030048217397e-03	2.524133541869252179e-03	2.493934149642192902e-03	2.466147632424814037e-03	2.440320660785750499e-03	2.416125279905023508e-03	2.393321946204044273e-03	2.371950289309841114e-03	2.351620935567041385e-03	2.332226046758211629e-03
6.500000000000000000e+01	2.741753899306836450e-03	2.703378491809489172e-03	2.668833618591416601e-03	2.637236179522056776e-03	2.608187353846528993e-03	2.581120670744073246e-03	2.555881547368100797e-03	2.532077382312889879e-03	2.509659662033923364e-03	2.488418943733766535e-03	2.468056543086268387e-03
6.400000000000000000e+01	2.890305062096665614e-03	2.850341022710720183e-03	2.814279757692641527e-03	2.781300702471659839e-03	2.750962541015688437e-03	2.722767141687305621e-03	2.696327096504811185e-03	2.671573144761903423e-03	2.648110596618835026e-03	2.625923263691103734e-03	2.604747851724323153e-03
6.300000000000000000e+01	3.039402959022243639e-03	2.997721024878969610e-03	2.960208484594986731e-03	2.925863848968408929e-03	2.894228062301166388e-03	2.864812230454225582e-03	2.837372445719624735e-03	2.811544319357637579e-03	2.787048410194105114e-03	2.763849451777911602e-03	2.741874536175113470e-03
