SZA\Ozone_column_DU	150DU	175DU	200DU	225DU	250DU	275DU	300DU	325DU	350DU	375DU	400DU	
9.000000000000000000e+01	1.132878401939872298e-06	9.795580987659614656e-07	8.630855191322082167e-07	7.714341980168724741e-07	6.973768325629708244e-07	6.361601999358298272e-07	5.847932544308945367e-07	5.409674469336367251e-07	5.031649527667773471e-07	4.702101893190314363e-07	4.411852690802308410e-07
8.900000000000000000e+01	1.776005879262790132e-06	1.537606460311773173e-06	1.356366930599069924e-06	1.213562953117975266e-06	1.098032084614952308e-06	1.002614398177118899e-06	9.222367294271531809e-07	8.537701979488243652e-07	7.946067689385760016e-07	7.429952443999181641e-07	6.975684400503174342e-07
8.800000000000000000e+01	2.627450071545632451e-06	2.277918957411346179e-06	2.011323856815631582e-06	1.801378710618880050e-06	1.631328828940576639e-06	1.490678999572458668e-06	1.372421179786505288e-06	1.271368867348600064e-06	1.184089694710855578e-06	1.107838733927986013e-06	1.040729515037094395e-06
8.700000000000000000e+01	3.691943838391911302e-06	3.203762703619898575e-06	2.831883240630691545e-06	2.538385805315269670e-06	2.300864887753069958e-06	2.104107402777594310e-06	1.938493631521760469e-06	1.797093590316559671e-06	1.674770998640362706e-06	1.568017680383634175e-06	1.473801567681791479e-06
8.600000000000000000e+01	4.978937626668190197e-06	4.324438053335918359e-06	3.825655885353540986e-06	3.431981741781426930e-06	3.113023527134017124e-06	2.849002221787337524e-06	2.626457468615584637e-06	2.436293848855392735e-06	2.272006467882595066e-06	2.128309365546683962e-06	2.001569044606093547e-06
8.500000000000000000e+01	6.498843779842863880e-06	5.649015457585775899e-06	5.001083904562592844e-06	4.489641416455623749e-06	4.074933996297674288e-06	3.731564021016897691e-06	3.442039156617988447e-06	3.194684080780413323e-06	2.980707392940815829e-06	2.793730420166093266e-06	2.628731469453154623e-06
8.400000000000000000e+01	8.263145036543674898e-06	7.187426665080210266e-06	6.367196726578744560e-06	5.719122972987936788e-06	5.193985725307031174e-06	4.758748108138647738e-06	4.391811008844829967e-06	4.078459747117426496e-06	3.807084141303397786e-06	3.569862359754354255e-06	3.360528742651242683e-06
8.300000000000000000e+01	1.028390582371577542e-05	8.950320489068115621e-06	7.933239759092196609e-06	7.129558274977022372e-06	6.478180822174364453e-06	5.938310712428128849e-06	5.483205611930791373e-06	5.094063762276569502e-06	4.757101743554409981e-06	4.462463554426214041e-06	4.202493496669709262e-06
8.200000000000000000e+01	1.257497311744249222e-05	1.095103777971706737e-05	9.710680973235362882e-06	8.731194678878486572e-06	7.936924424609240157e-06	7.278404741723096567e-06	6.723852746307014306e-06	6.249004646210584174e-06	5.838055361359924013e-06	5.478536104498667602e-06	5.161092723183942931e-06
8.100000000000000000e+01	1.515072003436748788e-05	1.319995213920870718e-05	1.171120673553734348e-05	1.053460004314582451e-05	9.580069678763142267e-06	8.788537446939497923e-06	8.121602850916634757e-06	7.551228121124100975e-06	7.056962634152916686e-06	6.624921257709185337e-06	6.243070081911757052e-06
8.000000000000000000e+01	1.802556559162116320e-05	1.571224809971570661e-05	1.394471469806951370e-05	1.254890923355990166e-05	1.141567732427487504e-05	1.047707761970069895e-05	9.685078299921111885e-06	9.007780917218546877e-06	8.421267277938921560e-06	7.908008367827055565e-06	7.454506073659956253e-06
7.900000000000000000e+01	2.121427019693563365e-05	1.849774383168144924e-05	1.642462463242420155e-05	1.478578162733122664e-05	1.345485962462110617e-05	1.235209975095284855e-05	1.142175179180039933e-05	1.062626539404196609e-05	9.937216603631962494e-06	9.334125441224233746e-06	8.801758412285415871e-06
7.800000000000000000e+01	2.472513019914553020e-05	2.156865440159499314e-05	1.915718548099677566e-05	1.725136925350176609e-05	1.570403817406784363e-05	1.442029932781003499e-05	1.333874348229916849e-05	1.241293990148379217e-05	1.161096959673420955e-05	1.090982325412939783e-05	1.028962380424210666e-05
