SZA\Ozone_column_DU	150DU	175DU	200DU	225DU	250DU	275DU	300DU	325DU	350DU	375DU	400DU	
9.000000000000000000e+01	7.187675059929037838e-05	7.005189678072279848e-05	6.841705510652588854e-05	6.693502428085781007e-05	6.558516215922448724e-05	6.432976874002602251e-05	6.316474468264750362e-05	6.208078219672181065e-05	6.106493375322451830e-05	6.009948625151203194e-05	5.919104422545387525e-05
8.900000000000000000e+01	1.110243121496196962e-04	1.083164095875895235e-04	1.058895405666448206e-04	1.036973755217368548e-04	1.016888828420362174e-04	9.983634969648774759e-05	9.809703695815939881e-05	9.648738597161642962e-05	9.496934150641202156e-05	9.353713884137891416e-05	9.218432706934759520e-05
8.800000000000000000e+01	1.593951599424285517e-04	1.556837401422071733e-04	1.523442977959516660e-04	1.493237833108993320e-04	1.465474447071073659e-04	1.439832082176650948e-04	1.416038978157435635e-04	1.393717747260180971e-04	1.372635560432311974e-04	1.352810285375611839e-04	1.334072693421674304e-04
8.700000000000000000e+01	2.153049349696588342e-04	2.104751194458888419e-04	2.061660687778642947e-04	2.022260191781702127e-04	1.986320472228684836e-04	1.952941950114501211e-04	1.921956208757778046e-04	1.892955864987284041e-04	1.865613817354749274e-04	1.839830631545378908e-04	1.815273979490816586e-04
8.600000000000000000e+01	2.778029692719031444e-04	2.718196495986120102e-04	2.664429800089687054e-04	2.615672647992210004e-04	2.570866669392890178e-04	2.529416003995138139e-04	2.490786876091853185e-04	2.454518603554771742e-04	2.420578906407874970e-04	2.388357166046219007e-04	2.357824877670602762e-04
8.500000000000000000e+01	3.463182830274576175e-04	3.391188529208042030e-04	3.326526956328208903e-04	3.267761421034552811e-04	3.213828712839997487e-04	3.163795095518725804e-04	3.117223819035232451e-04	3.073660640364037815e-04	3.032481654518226467e-04	2.993674424837030885e-04	2.956826736917429819e-04
8.400000000000000000e+01	4.205885925194154280e-04	4.121196918815062051e-04	4.045291187128923155e-04	3.976158682290174156e-04	3.912754393426933668e-04	3.853930946702687908e-04	3.799105222072384023e-04	3.747704662381879954e-04	3.699304038478810571e-04	3.653516851225472695e-04	3.610110042252417419e-04
8.300000000000000000e+01	5.005512041959692821e-04	4.907843650652899238e-04	4.820127077241070533e-04	4.740404868421857140e-04	4.667080134819597209e-04	4.599187209832139101e-04	4.535841481953634103e-04	4.476458570881062583e-04	4.420512816927353269e-04	4.367498955566871330e-04	4.317252634855762842e-04
8.200000000000000000e+01	5.862645950790313764e-04	5.751669947435496862e-04	5.651891578520875335e-04	5.561153881980324598e-04	5.477652418769172289e-04	5.400324330276900630e-04	5.328140872774277418e-04	5.260368129158902182e-04	5.196677189914316285e-04	5.136288782628428999e-04	5.078937410861911498e-04
8.100000000000000000e+01	6.778377213956433443e-04	6.653211199061311075e-04	6.541718361590304108e-04	6.438871282046328874e-04	6.345394817616177314e-04	6.257684171261451104e-04	6.176530146092167398e-04	6.100220328079085114e-04	6.028696121551902713e-04	5.960282696260625450e-04	5.895628585403391540e-04
