conc1	depth1	conc2	depth2	conc3	depth3
3.261193	-0.137361822	2.571640686	-0.054944208	1.91492439	-0.16483391
1.380596842	-1.071428751	1.12089478	-1.021976986	1.001491631	-1.725274352
0.888059752	-3.736263944	0.69104399	-3.593405583	0.708954838	-3.329669543
0.462686812	-5.02747337	0.708954838	-5.263736356	0.613432592	-5.725274113
0.373134614	-6.181319718	0.762686016	-7.219782116	0.523880401	-7.857142643
0.313432693	-9.120879812	0.774626126	-9.263738633	0.44626832	-9.241758428
0.313432693	-11.20879309	0.738805796	-10.69230854	0.416417362	-11.24176082
0.358208792	-12.11538665	0.613432592	-12.71428611	0.422387417	-13.17582512
0.402984891	-14.6153879	0.320895116	-15.24176059	0.386567087	-15.76923267
0.313432693	-16.59341021	0.368656239	-17.17582488	0.392537142	-16.6483528
0.559701238	-20.35714627	0.488059388	-18.16483598	0.404477252	-18.18681618
0.89552198	-21.07143127	0.565671469	-21.0659362	0.320895116	-20.12088048
0.791044644	-22.44505955	0.589551689	-22.67033265	0.368656239	-23.57143047
0.641791208	-25.05494926	0.523880401	-25.54945266	0.482089333	-25.57143287
0.231343406	-26.56593936	0.43432821	-26.60439934	0.416417362	-26.60439934
0.298507554	-28.54396167	0.23731298	-29.48352187	0.553730676	-29.59341032
