mid	conc
1.928571429	67.41
6.642857143	41.5
11.92857143	39.05
16.92857143	57.52
22.28571429	46.02
27.57142857	33.63
33	32.05
38.57142857	37.7
43.96428571	31.85
49.35714286	79.71
54.42857143	37.05
59.78571429	47.43
65.35714286	46.86
70.85714286	82.29
75.92857143	43.27
81	54.19
86.71428571	23.95
92.71428571	29.87
98.78571429	21.38
104.4285714	23.58
109.7142857	86.61
115.4285714	49.75
121.7857143	31.58
127.7857143	44.35
133.1428571	41.71
138.2142857	48.74
142.8571429	36.59
148.3571429	35.04
154.3214286	44.13
159.7142857	66.15
165.3571429	86.68
170.8571429	62.15
176.0357143	35.94
181.2142857	30.25
186.7857143	59.75
192.6428571	70.8
198.5714286	46.37
204.5714286	50.12
210.4285714	58.14
216.6428571	70.38
222.9357143	65.45
228.9607143	36.66
235.0071429	41.33
241.075	56.03
247.1642857	48.83
253.275	28.3
259.4071429	43.02
265.5607143	52.9
271.7357143	21.21
277.9321429	19
284.15	25.16
